constraint_id,category,constraint_type,description,value,unit,severity,enforcement_level,penalty,check_timing,notes
LC001,労働時間,daily_work_hours,1日の法定労働時間上限,8,時間,CRITICAL,法令必須,労基法32条違反,シフト作成時,休憩時間を除く実労働時間
LC002,労働時間,weekly_work_hours,週の法定労働時間上限,40,時間,CRITICAL,法令必須,労基法32条違反,週次チェック,1週間は日曜起算
LC003,労働時間,monthly_overtime,月間時間外労働上限（36協定）,45,時間,CRITICAL,法令必須,労基法36条違反・罰金30万円以下,月次チェック,特別条項なしの場合
LC004,労働時間,yearly_overtime,年間時間外労働上限（36協定）,360,時間,CRITICAL,法令必須,労基法36条違反・罰金30万円以下,年次チェック,特別条項なしの場合
LC005,労働時間,monthly_total_limit,月間総労働時間上限（過労防止）,200,時間,HIGH,推奨基準,過労死ライン超過,月次チェック,時間外80時間相当を上限
LC006,休憩時間,break_6hours,6時間超勤務の休憩時間,45,分,CRITICAL,法令必須,労基法34条違反,シフト作成時,6時間を超える場合
LC007,休憩時間,break_8hours,8時間超勤務の休憩時間,60,分,CRITICAL,法令必須,労基法34条違反,シフト作成時,8時間を超える場合
LC008,休息時間,interval_between_shifts,勤務間インターバル,11,時間,MEDIUM,努力義務,健康確保措置,シフト作成時,前日終業から翌日始業まで
LC009,休日,weekly_holiday,週休日数,1,日,CRITICAL,法令必須,労基法35条違反,週次チェック,最低週1日または4週4日
LC010,休日,consecutive_work_limit,連続勤務日数上限,12,日,HIGH,推奨基準,過労リスク,シフト作成時,原則6日以内推奨
LC011,有給休暇,annual_paid_leave_min,年次有給休暇取得義務,5,日,CRITICAL,法令必須,労基法39条違反・罰金30万円以下,年次チェック,10日以上付与者が対象
LC012,有給休暇,paid_leave_notice,有給休暇の事前申請期限,14,日,MEDIUM,社内規定,なし,申請時,繁忙期は調整可能
LC013,未成年,minor_night_work,18歳未満の深夜業務（22-5時）,0,許可,CRITICAL,法令必須,労基法61条違反,シフト作成時,完全禁止
LC014,未成年,highschool_daily_limit,高校生の1日労働時間上限,7,時間,HIGH,推奨基準,学業への影響,シフト作成時,学業優先
LC015,未成年,highschool_weekly_limit,高校生の週労働時間上限,28,時間,HIGH,推奨基準,学業への影響,週次チェック,試験期間は削減
LC016,最低賃金,minimum_wage,東京都最低賃金（2024年）,1113,円/時,CRITICAL,法令必須,最賃法違反・罰金50万円以下,給与計算時,2024年10月改定
LC017,扶養控除,annual_income_103,所得税扶養控除限度額,1030000,円/年,MEDIUM,税制,扶養から外れる,年次チェック,配偶者・親族扶養
LC018,扶養控除,annual_income_130,社会保険扶養限度額,1300000,円/年,MEDIUM,税制,社会保険加入義務,年次チェック,健保・年金
LC019,安全配慮,single_night_work,深夜一人勤務の禁止,2,最低人数,HIGH,安全配慮,労災リスク,シフト作成時,22時以降は2名以上
LC020,安全配慮,heavy_work_pair,重作業時の複数配置,2,最低人数,HIGH,安全配慮,労災リスク,作業計画時,搬入・在庫整理等
