check_id,category,check_item,description,required_count,timing,frequency,responsible_role,severity,verification_method,corrective_action,notes
HS001,衛生管理,health_check,出勤時の健康チェック実施者,全員,出勤時,毎回,リーダー,CRITICAL,体温・体調確認表,37.5度以上は出勤停止,検温・下痢・嘔吐等確認
HS002,衛生管理,hand_hygiene,手洗い・消毒の実施,全員,作業開始前,都度,本人,CRITICAL,目視確認,再実施指示,30秒以上・アルコール消毒
HS003,衛生管理,uniform_check,ユニフォーム・身だしなみ,全員,出勤時,毎回,リーダー,HIGH,目視チェック,改善指示,清潔・異物混入防止
HS004,衛生管理,food_date_check,食材の期限確認担当者,1,開店前,毎日,調理責任者,CRITICAL,期限確認表,廃棄・発注,消費期限・賞味期限
HS005,衛生管理,temperature_record,冷蔵・冷凍庫温度記録,1,開店時・閉店時,1日2回,当番,HIGH,温度記録表,設備確認・修理依頼,冷蔵5℃以下・冷凍-18℃以下
HS006,衛生管理,cleaning_completion,清掃チェックリスト完了,全員,閉店時,毎日,クローズ責任者,HIGH,チェックリスト,再清掃,所定箇所の清掃確認
HS007,安全管理,emergency_exit,非常口の確保確認,1,開店前,毎日,責任者,CRITICAL,目視確認,即座に確保,避難経路の確保
HS008,安全管理,fire_equipment,消火器・火災報知器確認,1,開店前,週1回,防火管理者,HIGH,点検表,設備業者連絡,位置・使用期限確認
HS009,安全管理,slip_hazard,床の滑り・転倒防止,全員,作業中,常時,全員,MEDIUM,目視確認,即座に清掃,水・油をすぐ拭き取る
HS010,安全管理,sharp_tools,包丁等の刃物管理,1,閉店時,毎日,調理責任者,HIGH,数量確認,探索・報告,定位置管理・数量チェック
HS011,安全管理,burn_prevention,火傷防止の注意喚起,1,ピーク前,毎回,調理リーダー,MEDIUM,声かけ,注意喚起,揚げ物・オーブン作業時
HS012,安全管理,heavy_lifting,重量物運搬の人数確保,2,搬入時,都度,責任者,MEDIUM,作業前確認,人員追加,20kg以上は2名で
HS013,労働安全,break_time_ensure,休憩時間の確保確認,1,シフト中,都度,リーダー,HIGH,タイムカード確認,休憩指示,法定休憩の確保
HS014,労働安全,overtime_alert,長時間労働のアラート,1,退勤時,毎日,責任者,HIGH,勤怠記録確認,翌日調整,8時間超過時確認
HS015,緊急対応,first_aid_trained,救急処置可能者の配置,1,全時間帯,常時,シフト作成者,HIGH,資格確認,シフト調整,救急講習受講者を配置
