date,year,month,day,day_of_week,weather_condition,temperature_high,temperature_low,temperature_avg,precipitation_mm,humidity_percent,wind_speed_ms,notes
2023-11-01,2023,11,1,水,晴れ,18,10,14,0,55,2.5,秋晴れ
2023-11-02,2023,11,2,木,曇り,17,11,14,0,60,3.0,
2023-11-03,2023,11,3,金,晴れ,19,9,14,0,50,2.0,文化の日
2023-11-04,2023,11,4,土,晴れ,20,10,15,0,52,2.5,
2023-11-05,2023,11,5,日,曇り,18,12,15,0,65,3.5,
2023-11-06,2023,11,6,月,雨,16,13,14.5,15,75,4.0,
2023-11-07,2023,11,7,火,曇り,17,11,14,2,70,3.0,
2023-11-08,2023,11,8,水,晴れ,19,10,14.5,0,55,2.5,
2023-11-09,2023,11,9,木,晴れ,20,9,14.5,0,50,2.0,
2023-11-10,2023,11,10,金,晴れ,21,10,15.5,0,48,2.5,
2023-11-11,2023,11,11,土,曇り,19,11,15,0,60,3.0,
2023-11-12,2023,11,12,日,晴れ,18,9,13.5,0,55,2.5,
2023-11-13,2023,11,13,月,晴れ,17,8,12.5,0,52,2.0,
2023-11-14,2023,11,14,火,曇り,16,10,13,0,65,3.5,
2023-11-15,2023,11,15,水,雨,15,11,13,10,80,4.0,
2023-11-16,2023,11,16,木,曇り,16,10,13,1,70,3.0,
2023-11-17,2023,11,17,金,晴れ,17,9,13,0,58,2.5,
2023-11-18,2023,11,18,土,晴れ,18,8,13,0,55,2.0,
2023-11-19,2023,11,19,日,晴れ,19,9,14,0,52,2.5,
2023-11-20,2023,11,20,月,曇り,17,10,13.5,0,62,3.0,
2023-11-21,2023,11,21,火,晴れ,16,8,12,0,58,2.5,
2023-11-22,2023,11,22,水,晴れ,15,7,11,0,55,2.0,
2023-11-23,2023,11,23,木,晴れ,16,8,12,0,52,2.5,勤労感謝の日
2023-11-24,2023,11,24,金,曇り,17,9,13,0,60,3.0,
2023-11-25,2023,11,25,土,雨,15,11,13,12,75,4.0,
2023-11-26,2023,11,26,日,曇り,14,9,11.5,2,70,3.5,
2023-11-27,2023,11,27,月,晴れ,15,7,11,0,58,2.5,
2023-11-28,2023,11,28,火,晴れ,14,6,10,0,55,2.0,
2023-11-29,2023,11,29,水,晴れ,13,5,9,0,52,2.5,
2023-11-30,2023,11,30,木,曇り,14,7,10.5,0,60,3.0,
2023-12-01,2023,12,1,金,晴れ,12,4,8,0,50,2.0,
2023-12-02,2023,12,2,土,晴れ,13,5,9,0,52,2.5,
2023-12-03,2023,12,3,日,曇り,14,6,10,0,58,3.0,
2023-12-04,2023,12,4,月,雨,11,8,9.5,8,75,3.5,
2023-12-05,2023,12,5,火,曇り,12,6,9,1,65,3.0,
2023-12-06,2023,12,6,水,晴れ,13,4,8.5,0,55,2.5,
2023-12-07,2023,12,7,木,晴れ,14,5,9.5,0,52,2.0,
2023-12-08,2023,12,8,金,晴れ,15,6,10.5,0,50,2.5,
2023-12-09,2023,12,9,土,曇り,13,7,10,0,60,3.0,
2023-12-10,2023,12,10,日,晴れ,12,4,8,0,55,2.5,
2023-12-11,2023,12,11,月,晴れ,11,3,7,0,52,2.0,
2023-12-12,2023,12,12,火,曇り,12,5,8.5,0,60,3.0,
2023-12-13,2023,12,13,水,雨,10,6,8,10,78,3.5,
2023-12-14,2023,12,14,木,曇り,11,5,8,2,70,3.0,
2023-12-15,2023,12,15,金,晴れ,12,3,7.5,0,55,2.5,
2023-12-16,2023,12,16,土,晴れ,13,4,8.5,0,52,2.0,
2023-12-17,2023,12,17,日,晴れ,14,5,9.5,0,50,2.5,
2023-12-18,2023,12,18,月,曇り,12,6,9,0,62,3.0,
2023-12-19,2023,12,19,火,晴れ,11,3,7,0,58,2.5,
2023-12-20,2023,12,20,水,晴れ,10,2,6,0,55,2.0,
2023-12-21,2023,12,21,木,曇り,11,4,7.5,0,60,3.0,
2023-12-22,2023,12,22,金,雪,8,1,4.5,5,80,3.5,初雪
2023-12-23,2023,12,23,土,曇り,9,2,5.5,0,72,3.0,
2023-12-24,2023,12,24,日,晴れ,10,1,5.5,0,58,2.5,クリスマスイブ
2023-12-25,2023,12,25,月,晴れ,11,2,6.5,0,55,2.0,クリスマス
2023-12-26,2023,12,26,火,曇り,10,3,6.5,0,62,3.0,
2023-12-27,2023,12,27,水,晴れ,9,1,5,0,58,2.5,
2023-12-28,2023,12,28,木,晴れ,8,0,4,0,55,2.0,
2023-12-29,2023,12,29,金,曇り,9,2,5.5,0,60,3.0,
2023-12-30,2023,12,30,土,晴れ,10,1,5.5,0,55,2.5,
2023-12-31,2023,12,31,日,晴れ,11,2,6.5,0,52,2.0,大晦日
2024-01-01,2024,1,1,月,晴れ,10,0,5,0,50,2.5,元日
2024-01-02,2024,1,2,火,晴れ,11,1,6,0,52,2.0,
2024-01-03,2024,1,3,水,曇り,9,2,5.5,0,58,3.0,
2024-01-04,2024,1,4,木,晴れ,10,0,5,0,55,2.5,
2024-01-05,2024,1,5,金,晴れ,11,1,6,0,52,2.0,
2024-01-06,2024,1,6,土,曇り,9,3,6,0,62,3.0,
2024-01-07,2024,1,7,日,雨,8,4,6,12,75,3.5,
2024-01-08,2024,1,8,月,曇り,9,2,5.5,1,70,3.0,成人の日
2024-01-09,2024,1,9,火,晴れ,10,1,5.5,0,58,2.5,
2024-01-10,2024,1,10,水,晴れ,11,0,5.5,0,55,2.0,
2024-01-11,2024,1,11,木,晴れ,12,1,6.5,0,52,2.5,
2024-01-12,2024,1,12,金,曇り,10,3,6.5,0,60,3.0,
2024-01-13,2024,1,13,土,雪,7,2,4.5,8,80,3.5,
2024-01-14,2024,1,14,日,曇り,8,1,4.5,0,72,3.0,
2024-01-15,2024,1,15,月,晴れ,9,0,4.5,0,58,2.5,
2024-01-16,2024,1,16,火,晴れ,10,1,5.5,0,55,2.0,
2024-01-17,2024,1,17,水,晴れ,11,2,6.5,0,52,2.5,
